"Med.Part.Diam","Dep.Water.Tab","Dep.H2S.layer","Shore.height","X.Organics","Interstit.Salinity"
0.06,0,2.167,4,6.43,24.833
0.06,0,3.183,3,7.06,22.833
0.06,0,1.817,2,7.99,17.833
0.06,0,2.02,1,7.15,16.2
1.275,20,20,5,0.24,10
0.562,3.417,2.95,4,0.37,76.6
0.06,0,2.167,3,1.98,76
0.177,0,2.683,2,2.22,81.2
0.06,0,2.66,1,5.88,71.2
0.451,20,20,5,0.09,10
0.205,4.417,7.25,4,0.39,88
0.528,20,20,3,0.09,88
0.598,20,20,2,0.06,88
0.769,0,20,1,0.09,88.5
0.468,14.917,20,5,0.06,89
0.837,6.333,20,4,0.04,90.875
0.797,6.75,20,3,0.06,91.667
1.141,3.667,20,2,0.07,89.4
0.223,0,20,1,0.09,90.833
