"Ca.pct","Mg.pct","Cl.pct","SO4.pct","WaterType","IDs","pt.col","pt.pch"
42.13311764,29.26441966,6.09408,7.25049,1,"G",1,1
72.96194875,13.5726584,2.14666,4.4376,1,"G",1,1
32.38219315,11.43572282,14.0353,4.38916,1,"G",1,1
48.49668549,10.5073174,5.58512,2.23989,1,"G",1,1
46.35375265,20.00982897,10.4452,7.05247,1,"G",1,1
28.23043622,1.225145214,38.477,3.3976,1,"G",1,1
51.5439688,19.82069063,5.74905,2.164,1,"G",1,1
43.81942421,11.04811819,64.0064,2.65253,1,"G",1,1
47.92985402,11.69046979,2.31844,1.9369,1,"G",1,1
53.9434588,25.90608547,2.07566,2.19871,1,"G",1,1
47.8303477,27.55347804,1.91521,0.344872,1,"G",1,1
59.80860229,22.4177891,1.7931,5.05124,1,"G",1,1
43.23004021,21.2583631,5.39058,2.60583,1,"G",1,1
53.87571011,9.963075886,1.51669,0.952982,1,"G",1,1
1.247237454,0.047351375,32.581,11.4786,1,"G",1,1
67.45779956,8.601046701,7.41232,10.091,1,"G",1,1
66.35311015,6.667138284,0.675118,25.6693,1,"G",1,1
74.32636338,5.480684575,1.05201,2.13589,1,"G",1,1
36.64063351,14.14435499,28.9946,19.5922,2,"M",2,2
56.75773245,25.55117967,12.2946,22.0001,2,"M",2,2
46.24701409,31.12650267,0.557201,3.99106,2,"M",2,2
85.32460451,9.298878933,0.31307,2.28417,2,"M",2,2
53.27033234,26.14218195,0.854302,4.49389,2,"M",2,2
60.38883282,26.44173188,2.51957,1.04351,2,"M",2,2
55.93087666,15.70329543,10.7821,27.5264,3,"S",3,3
46.54871554,4.582489032,19.7752,3.86391,3,"S",3,3
43.68056722,19.27078238,9.89249,11.8763,3,"S",3,3
52.20003891,28.96828824,0.398731,0.28036,4,"V",4,19
46.02840831,37.25985218,2.43614,1.12776,4,"V",4,19
22.18283311,39.14279422,7.80101,1.51755,4,"V",4,19
46.97624427,16.96723923,7.66534,5.07936,1,"G",1,1
43.44488344,38.32772049,10.8079,6.53749,1,"G",1,1
80.40399519,2.110142928,1.50092,2.95497,1,"G",1,1
51.28050191,17.77096521,1.43802,2.12335,1,"G",1,1
51.93699061,17.95935617,1.10947,3.63013,1,"G",1,1
51.13427302,13.48024713,1.16604,0,1,"G",1,1
49.21947193,37.06867594,10.1751,6.3079,1,"G",1,1
48.33521315,15.2768198,6.65274,0.446513,1,"G",1,1
29.85366838,4.414172511,7.87368,0.600057,1,"G",1,1
51.61613554,30.93263625,2.81757,2.17546,1,"G",1,1
38.27113597,19.87194934,6.25072,45.9688,2,"M",2,2
56.28582981,16.80475625,7.89305,15.6475,2,"M",2,2
55.55524899,23.58053258,8.08757,16.1634,2,"M",2,2
65.04148314,15.08449251,3.30168,9.50763,2,"M",2,2
55.33329136,17.80946973,9.05356,2.86873,2,"M",2,2
76.2972154,10.06488799,9.26002,7.50902,2,"M",2,2
75.50858018,11.01601126,1.31631,6.68474,2,"M",2,2
75.70737189,11.5487496,5.44358,17.3981,2,"M",2,2
56.92082716,26.13456307,2.07181,2.86239,2,"M",2,2
65.59039411,24.58085591,6.31666,10.6267,2,"M",2,2
85.72244257,8.304857119,0.391025,4.33034,2,"M",2,2
70.2016837,14.98240177,2.27087,15.7876,2,"M",2,2
87.70842437,7.350770903,4.09281,1.50573,2,"M",2,2
75.63708707,6.247984621,1.03052,13.4049,2,"M",2,2
44.48869284,19.27044722,6.49084,4.88339,2,"M",2,2
67.89442243,9.143845601,0.46123,18.328,2,"M",2,2
45.6776363,35.22179156,8.49103,25.658,2,"M",2,2
55.41888159,23.29379222,4.55808,5.16565,2,"M",2,2
66.03654605,14.02430315,4.4853,9.0629,3,"S",3,3
52.72791754,17.12568528,5.81348,3.49009,3,"S",3,3
51.26355997,15.57590263,15.5689,13.9272,3,"S",3,3
1.930680343,0.904984907,10.9087,31.7734,3,"S",3,3
61.43169158,13.10586122,4.01024,4.90049,3,"S",3,3
43.90237252,26.6191543,0.993374,1.06081,3,"S",3,3
43.29827629,11.26473728,7.46863,3.48749,3,"S",3,3
28.31700926,48.14867411,1.63502,4.53814,3,"S",3,3
47.63253691,34.39713002,0.541088,0.108949,3,"S",3,3
44.81050452,11.92943618,1.27137,1.32263,3,"S",3,3
59.57410676,14.57667931,1.64169,9.89832,3,"S",3,3
42.76371339,39.0292781,2.88361,3.70719,3,"S",3,3
51.02105741,7.977204295,1.56417,1.46276,3,"S",3,3
40.27872313,17.57128121,13.5757,17.4609,4,"V",4,19
38.97908032,44.39522836,1.12607,0.369497,4,"V",4,19
19.08138217,17.86404232,4.00643,3.53426,4,"V",4,19
44.57470159,28.4199463,3.53011,8.41156,4,"V",4,19
42.54062665,41.00070294,1.45649,5.60214,4,"V",4,19
13.03371167,16.80635249,4.93771,7.11451,4,"V",4,19
63.09975869,23.21468304,82.1472,17.8528,4,"V",4,19
40.43567276,42.09967188,80.8207,19.1793,4,"V",4,19
50.15028127,31.40661365,65.2227,34.7773,4,"V",4,19
43.2587378,22.83193056,100,0,4,"V",4,19
50.53638758,22.07315837,24.1456,75.8544,4,"V",4,19
51.6752571,33.67630073,14.5387,85.4613,4,"V",4,19
