"date","Q"
1927-11-04,13600
1929-05-03,4700
1930-04-08,3080
1931-04-18,3410
1932-04-16,4210
1933-04-21,6450
1934-04-18,4300
1935-01-15,3520
1936-03-21,11000
1937-05-21,4370
1938-09-25,6630
1939-04-26,5860
1940-05-07,5730
1940-12-31,2840
1942-04-14,3020
1943-05-13,3290
1944-04-17,3830
1945-03-25,4660
1946-03-13,4750
1947-06-08,4770
1948-03-25,6690
1949-01-04,6220
1950-04-10,4080
1951-04-16,4550
1952-04-11,4830
1953-04-01,4950
1954-02-27,3750
1955-04-21,4150
1956-05-05,4830
1957-03-16,2220
1958-04-25,6880
1959-04-09,4990
1960-04-07,8200
1961-05-01,2550
1962-04-13,4800
1963-04-04,4860
1964-03-12,3780
1965-04-24,1780
1966-03-25,2620
1967-04-10,3460
1968-03-27,5650
1969-04-23,6390
1970-04-25,4470
1971-05-11,3460
1972-05-08,5290
1973-03-22,3530
1974-01-02,4160
1975-05-01,3100
1976-04-05,5120
1977-03-17,7110
1978-03-30,3550
1979-03-10,5070
1980-03-24,2900
1981-02-27,5070
1982-04-25,4100
1983-05-06,6480
1984-06-04,5430
1985-03-01,2680
1986-03-24,5480
1987-04-09,7320
1987-10-13,2920
1989-05-13,2940
1990-03-23,3740
1990-12-24,2710
1992-04-24,2510
1993-04-23,4080
1994-04-19,6570
1995-03-22,2490
1996-04-27,5640
1996-12-08,3360
1998-04-05,5780
1999-04-08,3110
2000-03-05,3640
2001-04-27,5770
2002-04-20,3540
2003-04-03,4040
2003-12-31,3800
2005-04-08,4820
2006-01-24,3920
2007-04-28,4580
2008-04-17,3920
2009-04-10,3250
2010-03-28,4260
2011-09-02,6180
2012-05-30,2650
2013-07-11,3520
2014-04-18,5510
2015-04-23,3530
